t,schumann,coherence,entropy
0,0.2800,0.7289,0.2711
1,-1.0339,0.7281,0.2719
2,-0.8490,0.7315,0.2685
3,0.1076,0.7286,0.2714
4,0.8663,0.7285,0.2715
5,0.8313,0.7238,0.2762
6,-0.3054,0.7299,0.2701
7,-0.9781,0.7384,0.2616
8,-0.7929,0.7380,0.2620
9,0.3257,0.7484,0.2516
10,1.2363,0.7444,0.2556
11,0.5754,0.7388,0.2612
12,-0.2990,0.7356,0.2644
13,-0.7628,0.7381,0.2619
14,-0.7441,0.7336,0.2664
15,0.2626,0.7292,0.2708
16,1.0187,0.7400,0.2600
17,0.6933,0.7374,0.2626
18,-0.3362,0.7315,0.2685
19,-1.3759,0.7294,0.2706
20,-0.5833,0.7229,0.2771
21,0.3580,0.7206,0.2794
22,0.9480,0.7197,0.2803
23,0.8429,0.7297,0.2703
24,-0.7382,0.7396,0.2604
25,-1.0021,0.7488,0.2512
26,-0.5379,0.7590,0.2410
27,0.5229,0.7559,0.2441
28,1.0380,0.7506,0.2494
29,0.3747,0.7504,0.2496
30,-0.4976,0.7461,0.2539
31,-0.9569,0.7418,0.2582
32,-0.4971,0.7433,0.2567
33,0.4523,0.7373,0.2627
34,1.1711,0.7319,0.2681
35,0.3703,0.7251,0.2749
36,-0.8459,0.7332,0.2668
37,-0.9243,0.7332,0.2668
38,-0.2083,0.7407,0.2593
39,0.5436,0.7477,0.2523
40,1.0435,0.7561,0.2439
41,0.0903,0.7579,0.2421
42,-0.9399,0.7612,0.2388
43,-0.9556,0.7683,0.2317
44,-0.1613,0.7630,0.2370
45,0.8199,0.7538,0.2462
46,0.9972,0.7524,0.2476
47,-0.0170,0.7531,0.2469
48,-0.8942,0.7549,0.2451
49,-0.8880,0.7506,0.2494
50,0.1797,0.7420,0.2580
51,0.9161,0.7434,0.2566
52,0.8393,0.7430,0.2570
53,-0.0565,0.7482,0.2518
54,-1.0020,0.7572,0.2428
55,-0.7166,0.7675,0.2325
56,0.0027,0.7675,0.2325
57,1.1163,0.7699,0.2301
58,0.9091,0.7769,0.2231
59,-0.1968,0.7728,0.2272
60,-0.9209,0.7773,0.2227
61,-0.7126,0.7694,0.2306
62,0.3203,0.7613,0.2387
63,0.8045,0.7663,0.2337
64,0.7756,0.7715,0.2285
65,-0.0786,0.7764,0.2236
66,-0.9965,0.7772,0.2228
67,-0.7711,0.7863,0.2137
68,0.3398,0.7911,0.2089
69,1.1197,0.7927,0.2073
70,0.6900,0.7978,0.2022
71,-0.2217,0.8017,0.1983
72,-1.1944,0.8097,0.1903
73,-0.5072,0.8145,0.1855
74,0.4975,0.8071,0.1929
75,1.3096,0.8076,0.1924
76,0.3532,0.8020,0.1980
77,-0.4130,0.7969,0.2031
78,-0.9350,0.7914,0.2086
79,-0.1728,0.7878,0.2122
80,0.4782,0.7944,0.2056
81,1.0016,0.8042,0.1958
82,0.3343,0.8103,0.1897
83,-0.7242,0.8058,0.1942
84,-1.0981,0.8023,0.1977
85,-0.3038,0.8098,0.1902
86,0.5651,0.8030,0.1970
87,0.8423,0.8119,0.1881
88,0.0120,0.8039,0.1961
89,-0.7758,0.7970,0.2030
90,-0.9287,0.7973,0.2027
91,-0.1654,0.8029,0.1971
92,0.8968,0.7993,0.2007
93,1.1462,0.8090,0.1910
94,0.3352,0.8077,0.1923
95,-0.9875,0.8009,0.1991
96,-0.9491,0.7944,0.2056
97,0.0211,0.8009,0.1991
98,0.8892,0.8023,0.1977
99,0.7923,0.8017,0.1983
100,-0.0960,0.7968,0.2032
101,-0.8072,0.8067,0.1933
102,-0.7763,0.8028,0.1972
103,0.2406,0.8074,0.1926
104,0.9671,0.7986,0.2014
105,0.7542,0.7992,0.2008
106,-0.2205,0.7949,0.2051
107,-0.9345,0.7960,0.2040
108,-0.6721,0.7870,0.2130
109,0.1650,0.7960,0.2040
110,0.8215,0.7906,0.2094
111,0.7194,0.7898,0.2102
112,-0.0636,0.7862,0.2138
113,-0.9226,0.7777,0.2223
114,-0.5219,0.7744,0.2256
115,0.3709,0.7797,0.2203
116,0.8004,0.7712,0.2288
117,0.5348,0.7773,0.2227
118,-0.4703,0.7686,0.2314
119,-0.9708,0.7679,0.2321
120,-0.4907,0.7679,0.2321
121,0.4520,0.7608,0.2392
122,0.9700,0.7639,0.2361
123,0.4920,0.7593,0.2407
124,-0.5930,0.7680,0.2320
125,-0.9100,0.7764,0.2236
126,-0.6070,0.7731,0.2269
127,0.6019,0.7698,0.2302
128,1.0090,0.7678,0.2322
129,0.4647,0.7680,0.2320
130,-0.6130,0.7593,0.2407
131,-1.1070,0.7533,0.2467
132,-0.3718,0.7618,0.2382
133,0.5764,0.7602,0.2398
134,1.0474,0.7534,0.2466
135,0.1244,0.7490,0.2510
136,-0.8085,0.7514,0.2486
