owner,name,url,domain,visibility,language,stars,description
onegayunicorn,---,https://github.com/onegayunicorn/---,misc,private/unknown,,0,
onegayunicorn,--OAG-SOVEREIGN-COMMAND-CORE,https://github.com/onegayunicorn/--OAG-SOVEREIGN-COMMAND-CORE,sovereign,public,TypeScript,0,Λ-OAG SOVEREIGN COMMAND CORE
onegayunicorn,-GenoSync-App,https://github.com/onegayunicorn/-GenoSync-App,genesis-cure,public,TypeScript,0,🧬GenoSync-App
onegayunicorn,-KCD2-AI,https://github.com/onegayunicorn/-KCD2-AI,ai-chat-llm,public,TypeScript,0, KCD2 AI
onegayunicorn,-QUANTUM-FUSION,https://github.com/onegayunicorn/-QUANTUM-FUSION,quantum,private/unknown,,0,
onegayunicorn,2031-vectors,https://github.com/onegayunicorn/2031-vectors,misc,private/unknown,,0,
onegayunicorn,Accio-sub-agent,https://github.com/onegayunicorn/Accio-sub-agent,orchestrator-agent,public,TypeScript,0,Accio sub agent
onegayunicorn,accio-work-sovereign-engine,https://github.com/onegayunicorn/accio-work-sovereign-engine,sovereign,private/unknown,,0,
onegayunicorn,Actions,https://github.com/onegayunicorn/Actions,misc,private/unknown,,0,
onegayunicorn,aether-ai-pipeline,https://github.com/onegayunicorn/aether-ai-pipeline,sovereign,public,Python,1,"Complete AI-to-MotoG35 Command Execution Pipeline for Aether Grid. Includes FastAPI server, React dashboard, WebSocket b"
onegayunicorn,aether-grid,https://github.com/onegayunicorn/aether-grid,sovereign,public,,0,"Quantum Nexus Interactive Display System - Camera-Reactive Shader, Phase 4 Anchor, AETHER-GRID Volumetric Evolution"
onegayunicorn,Aether-Grid-,https://github.com/onegayunicorn/Aether-Grid-,sovereign,private/unknown,,0,
onegayunicorn,Aether-Omni,https://github.com/onegayunicorn/Aether-Omni,sovereign,public,Kotlin,0,Aether-Omni
onegayunicorn,aether-payments,https://github.com/onegayunicorn/aether-payments,sovereign,public,,0,"Aether Payments System - Stripe, NFC, and Escrow Integration for Autonomous Orchestrator. Includes simulate, model, eval"
onegayunicorn,aether-userland-package,https://github.com/onegayunicorn/aether-userland-package,sovereign,public,Shell,0,UserLand Integration Package for Aether Orchestrator - Universal multi-distribution deployment for Android (Termux/UserL
onegayunicorn,Aetheris-Dashboard,https://github.com/onegayunicorn/Aetheris-Dashboard,sovereign,public,Kotlin,0,Aetheris Dashboard
onegayunicorn,agnes-aura-website,https://github.com/onegayunicorn/agnes-aura-website,dashboard-ui,public,,0,agnes-aura-website
onegayunicorn,ai-apps-collection,https://github.com/onegayunicorn/ai-apps-collection,dashboard-ui,private/unknown,,0,
onegayunicorn,ai-chat,https://github.com/onegayunicorn/ai-chat,ai-chat-llm,private/unknown,,0,
onegayunicorn,ai-chat-app,https://github.com/onegayunicorn/ai-chat-app,dashboard-ui,private/unknown,,0,
onegayunicorn,ai-core-models-gemma4-onegayunicorn,https://github.com/onegayunicorn/ai-core-models-gemma4-onegayunicorn,ai-chat-llm,private/unknown,,0,
onegayunicorn,ai-development-studio-platform-onegayunicorn,https://github.com/onegayunicorn/ai-development-studio-platform-onegayunicorn,ai-chat-llm,public,TypeScript,0,AI studio
onegayunicorn,ai-orchestration-deepseek-integration-onegayunicorn,https://github.com/onegayunicorn/ai-orchestration-deepseek-integration-onegayunicorn,orchestrator-agent,public,Python,0,deepseek_orchestration
onegayunicorn,ai-orchestrator-dashboard,https://github.com/onegayunicorn/ai-orchestrator-dashboard,dashboard-ui,private/unknown,,0,
onegayunicorn,AI-Radio-Command,https://github.com/onegayunicorn/AI-Radio-Command,orchestrator-agent,private/unknown,,0,
onegayunicorn,Ai-talk-radio,https://github.com/onegayunicorn/Ai-talk-radio,ai-chat-llm,private/unknown,,0,
onegayunicorn,AI-task-Dash,https://github.com/onegayunicorn/AI-task-Dash,dashboard-ui,private/unknown,,0,
onegayunicorn,AI_Memory_Project,https://github.com/onegayunicorn/AI_Memory_Project,ai-chat-llm,private/unknown,,0,
onegayunicorn,AI_Repo,https://github.com/onegayunicorn/AI_Repo,ai-chat-llm,private/unknown,,0,
onegayunicorn,Ai_repo_,https://github.com/onegayunicorn/Ai_repo_,ai-chat-llm,private/unknown,,0,
onegayunicorn,AI_STUDIO_NARRATIVE_ENGINE,https://github.com/onegayunicorn/AI_STUDIO_NARRATIVE_ENGINE,ai-chat-llm,public,TypeScript,0,AI_STUDIO_NARRATIVE_ENGINE
onegayunicorn,Alchemical,https://github.com/onegayunicorn/Alchemical,misc,private/unknown,,0,
onegayunicorn,alchemical-engine,https://github.com/onegayunicorn/alchemical-engine,misc,private/unknown,,0,
onegayunicorn,alchemical-mirror-network,https://github.com/onegayunicorn/alchemical-mirror-network,mesh-network,private/unknown,,0,
onegayunicorn,AlienPC,https://github.com/onegayunicorn/AlienPC,misc,public,Python,0,"AlienPC: A portable Linux-based operating system for flexibility and legacy hardware revival, featuring a sovereign-grad"
onegayunicorn,Antigravity_,https://github.com/onegayunicorn/Antigravity_,misc,public,TypeScript,0,Antigravity 
onegayunicorn,aosp-device-motorola-quantum-eye,https://github.com/onegayunicorn/aosp-device-motorola-quantum-eye,quantum,private/unknown,,0,
onegayunicorn,APEX-,https://github.com/onegayunicorn/APEX-,misc,public,TypeScript,0,APEX
onegayunicorn,app-builder-packager-nexus,https://github.com/onegayunicorn/app-builder-packager-nexus,dashboard-ui,public,,0,app-builder-packager-nexus
onegayunicorn,Artillery_Project_v1,https://github.com/onegayunicorn/Artillery_Project_v1,misc,private/unknown,,0,
onegayunicorn,Assistant_builder,https://github.com/onegayunicorn/Assistant_builder,dashboard-ui,private/unknown,,0,
onegayunicorn,astro-deus-bot,https://github.com/onegayunicorn/astro-deus-bot,orchestrator-agent,private/unknown,,0,
onegayunicorn,autonomous-agent-ecosystem,https://github.com/onegayunicorn/autonomous-agent-ecosystem,orchestrator-agent,public,TypeScript,0,autonomous-agent-ecosystem
onegayunicorn,autonomous-orchestrator,https://github.com/onegayunicorn/autonomous-orchestrator,orchestrator-agent,public,Python,1,"Autonomous Orchestrator for Aether Grid - Self-governing command execution engine with 42 agents, risk scoring, and quan"
onegayunicorn,autonomous-orchestrator-core,https://github.com/onegayunicorn/autonomous-orchestrator-core,orchestrator-agent,private/unknown,,0,
onegayunicorn,BCI,https://github.com/onegayunicorn/BCI,bci-neuro,private/unknown,,0,
onegayunicorn,BCI-AGENT-QUANTUM-HUB,https://github.com/onegayunicorn/BCI-AGENT-QUANTUM-HUB,quantum,private/unknown,,0,
onegayunicorn,bci_ecosystem,https://github.com/onegayunicorn/bci_ecosystem,bci-neuro,public,,0,bci_ecosystem
onegayunicorn,BCP--,https://github.com/onegayunicorn/BCP--,misc,private/unknown,,0,
onegayunicorn,Bell-app,https://github.com/onegayunicorn/Bell-app,quantum,public,TypeScript,0,Quantum entanglement with bell pairs
onegayunicorn,Bellchain,https://github.com/onegayunicorn/Bellchain,quantum,private/unknown,,0,
onegayunicorn,Bento-Grid,https://github.com/onegayunicorn/Bento-Grid,misc,public,TypeScript,0,Bento-Grid
onegayunicorn,Bio-Electric-Synthesis-Nexus,https://github.com/onegayunicorn/Bio-Electric-Synthesis-Nexus,ai-chat-llm,private/unknown,,0,
onegayunicorn,bio-link-omega-stack,https://github.com/onegayunicorn/bio-link-omega-stack,sovereign,private/unknown,,0,
onegayunicorn,BIO-TECH-HARDWARE-,https://github.com/onegayunicorn/BIO-TECH-HARDWARE-,hardware-drivers,public,TypeScript,0,BIO TECH HARDWARE
onegayunicorn,biochain-node-template,https://github.com/onegayunicorn/biochain-node-template,mesh-network,private/unknown,,0,
onegayunicorn,Biometric-Financial-Program,https://github.com/onegayunicorn/Biometric-Financial-Program,escrow-payments,private/unknown,,0,
onegayunicorn,biometric_cam_identifier,https://github.com/onegayunicorn/biometric_cam_identifier,misc,private/unknown,,0,
onegayunicorn,bioshield-gen2,https://github.com/onegayunicorn/bioshield-gen2,misc,private/unknown,,0,
onegayunicorn,Blue-Brain-Project,https://github.com/onegayunicorn/Blue-Brain-Project,bci-neuro,private/unknown,,0,
onegayunicorn,Bluejay,https://github.com/onegayunicorn/Bluejay,mesh-network,private/unknown,,0,
onegayunicorn,Bluejay_metrics,https://github.com/onegayunicorn/Bluejay_metrics,mesh-network,public,TypeScript,0,Bluejay_metrics
onegayunicorn,Braided-planetary-nervous-system,https://github.com/onegayunicorn/Braided-planetary-nervous-system,ai-chat-llm,private/unknown,,0,
onegayunicorn,bridge,https://github.com/onegayunicorn/bridge,mesh-network,private/unknown,,0,
onegayunicorn,Building_Complete_System,https://github.com/onegayunicorn/Building_Complete_System,dashboard-ui,public,,0,Building_Complete_System
onegayunicorn,CelestialSecuritySoftware,https://github.com/onegayunicorn/CelestialSecuritySoftware,misc,private/unknown,,0,
onegayunicorn,chat_ui,https://github.com/onegayunicorn/chat_ui,dashboard-ui,public,TypeScript,0,chat_ui
onegayunicorn,cheat-engine-master,https://github.com/onegayunicorn/cheat-engine-master,misc,public,,0,cheat-engine-master
onegayunicorn,Chimera-Lux,https://github.com/onegayunicorn/Chimera-Lux,misc,private/unknown,,0,
onegayunicorn,choromnius,https://github.com/onegayunicorn/choromnius,misc,private/unknown,,0,
onegayunicorn,choromnius-dash,https://github.com/onegayunicorn/choromnius-dash,dashboard-ui,public,Kotlin,0,choromnius-dash
onegayunicorn,choromnius-monorepo,https://github.com/onegayunicorn/choromnius-monorepo,misc,private/unknown,,0,
onegayunicorn,chromagene-twinspark,https://github.com/onegayunicorn/chromagene-twinspark,genesis-cure,private/unknown,,0,
onegayunicorn,Chromatic-synapse,https://github.com/onegayunicorn/Chromatic-synapse,misc,private/unknown,,0,
onegayunicorn,Chromatic-synapse-,https://github.com/onegayunicorn/Chromatic-synapse-,misc,private/unknown,,0,
onegayunicorn,chromatic-synapse-engine,https://github.com/onegayunicorn/chromatic-synapse-engine,misc,private/unknown,,0,
onegayunicorn,Chronoforge_nexus,https://github.com/onegayunicorn/Chronoforge_nexus,ai-chat-llm,private/unknown,,0,
onegayunicorn,Chronolattice,https://github.com/onegayunicorn/Chronolattice,misc,public,TypeScript,0,Chronolattice
onegayunicorn,Chronos-Quantum-Bio-AI,https://github.com/onegayunicorn/Chronos-Quantum-Bio-AI,quantum,public,TypeScript,0,Chronos Quantum-Bio-AI
onegayunicorn,codality-sovereign-forge,https://github.com/onegayunicorn/codality-sovereign-forge,sovereign,private/unknown,,0,
onegayunicorn,CODeappz,https://github.com/onegayunicorn/CODeappz,dashboard-ui,private/unknown,,0,
onegayunicorn,Codex,https://github.com/onegayunicorn/Codex,misc,public,,0,
onegayunicorn,Codex-factory-,https://github.com/onegayunicorn/Codex-factory-,misc,public,TypeScript,0,Codex factory
onegayunicorn,codex-omega,https://github.com/onegayunicorn/codex-omega,sovereign,private/unknown,,0,
onegayunicorn,codex-omega-hypersentience,https://github.com/onegayunicorn/codex-omega-hypersentience,sovereign,private/unknown,,0,
onegayunicorn,Codex-_HyperSentience_Engine,https://github.com/onegayunicorn/Codex-_HyperSentience_Engine,misc,private/unknown,,0,
onegayunicorn,codex_coder_git_dash,https://github.com/onegayunicorn/codex_coder_git_dash,dashboard-ui,public,HTML,0,codex_coder_git_dash
onegayunicorn,Codex_ultimate,https://github.com/onegayunicorn/Codex_ultimate,misc,public,,0,The codex 
onegayunicorn,complete-system-monorepo,https://github.com/onegayunicorn/complete-system-monorepo,misc,private/unknown,,0,
onegayunicorn,Copilot-app,https://github.com/onegayunicorn/Copilot-app,dashboard-ui,public,,0,CopilotΩ AI app
onegayunicorn,corenode,https://github.com/onegayunicorn/corenode,mesh-network,private/unknown,,0,
onegayunicorn,COSMYTHIC,https://github.com/onegayunicorn/COSMYTHIC,misc,private/unknown,,0,
onegayunicorn,crystal-grok-sanctuary,https://github.com/onegayunicorn/crystal-grok-sanctuary,misc,public,TypeScript,0,crystal-grok-sanctuary
onegayunicorn,CrystalGrok,https://github.com/onegayunicorn/CrystalGrok,misc,private/unknown,,0,
onegayunicorn,CUSTOM-CAST,https://github.com/onegayunicorn/CUSTOM-CAST,misc,public,,0,CUSTOM-CAST
onegayunicorn,Customcast,https://github.com/onegayunicorn/Customcast,misc,public,TypeScript,0,Customcast
onegayunicorn,cws-codex-web-services,https://github.com/onegayunicorn/cws-codex-web-services,dashboard-ui,private/unknown,,0,
onegayunicorn,deepseek-orchestrator,https://github.com/onegayunicorn/deepseek-orchestrator,orchestrator-agent,public,,0,deepseek-orchestrator
onegayunicorn,deepseek-orchestrator-prod,https://github.com/onegayunicorn/deepseek-orchestrator-prod,orchestrator-agent,public,,0,deepseek-orchestrator-prod
onegayunicorn,deepseek-v4-sovereign,https://github.com/onegayunicorn/deepseek-v4-sovereign,sovereign,public,Python,1,"SOVEREIGN — DeepSeek-V4 Sovereign Orchestrator. Self-hosted, privacy-preserving AI orchestration monorepo: agents, trigg"
onegayunicorn,DeepSeek_Integration,https://github.com/onegayunicorn/DeepSeek_Integration,ai-chat-llm,private/unknown,,0,
onegayunicorn,Deus-,https://github.com/onegayunicorn/Deus-,misc,public,TypeScript,0,Deus
onegayunicorn,Digital-Asset-Matrix,https://github.com/onegayunicorn/Digital-Asset-Matrix,misc,private/unknown,,0,
onegayunicorn,DIGITAL-HEALTH,https://github.com/onegayunicorn/DIGITAL-HEALTH,misc,public,TypeScript,0,DIGITAL HEALTH
onegayunicorn,digital-health-dashboard-orchestrator,https://github.com/onegayunicorn/digital-health-dashboard-orchestrator,dashboard-ui,public,TypeScript,0,
onegayunicorn,DLink-Camera-Manager,https://github.com/onegayunicorn/DLink-Camera-Manager,misc,public,Groovy,0,dna-nanobot-sim-scaffold
onegayunicorn,dlink-virtual-switch-controller,https://github.com/onegayunicorn/dlink-virtual-switch-controller,orchestrator-agent,public,,0,
onegayunicorn,DMD,https://github.com/onegayunicorn/DMD,genesis-cure,public,,0,DMD
onegayunicorn,dna-lab,https://github.com/onegayunicorn/dna-lab,genesis-cure,public,TypeScript,0,dna-lab
onegayunicorn,dna-unfolding-lab,https://github.com/onegayunicorn/dna-unfolding-lab,genesis-cure,private/unknown,,0,
